AirportCode,AirportName,City,AdministrativeDivision,Country
GKA,Goroka Airport,Goroka,,Papua New Guinea
MAG,Madang Airport,Madang,,Papua New Guinea
HGU,Mount Hagen Kagamuga Airport,Mount Hagen,,Papua New Guinea
LAE,Nadzab Airport,Nadzab,,Papua New Guinea
POM,Port Moresby Jacksons International Airport,Port Moresby,,Papua New Guinea
WWK,Wewak International Airport,Wewak,,Papua New Guinea
UAK,Narsarsuaq Airport,Narssarssuaq,,Greenland
GOH,Godthaab / Nuuk Airport,Godthaab,,Greenland
SFJ,Kangerlussuaq Airport,Sondrestrom,,Greenland
THU,Thule Air Base,Thule,,Greenland
AEY,Akureyri Airport,Akureyri,,Iceland
EGS,Egilsstaðir Airport,Egilsstadir,,Iceland
HFN,Hornafjörður Airport,Hofn,,Iceland
HZK,Húsavík Airport,Husavik,,Iceland
IFJ,Ísafjörður Airport,Isafjordur,,Iceland
KEF,Keflavik International Airport,Keflavik,,Iceland
PFJ,Patreksfjörður Airport,Patreksfjordur,,Iceland
RKV,Reykjavik Airport,Reykjavik,,Iceland
SIJ,Siglufjörður Airport,Siglufjordur,,Iceland
VEY,Vestmannaeyjar Airport,Vestmannaeyjar,,Iceland
YAM,Sault Ste Marie Airport,Sault Sainte Marie,Ont.,Canada
YAY,St. Anthony Airport,St. Anthony,Nfld.,Canada
YAZ,Tofino / Long Beach Airport,Tofino,B.C.,Canada
YBB,Kugaaruk Airport,Pelly Bay,N.W.T.-Townsite,Canada
YBC,Baie Comeau Airport,Baie Comeau,Que.,Canada
YBG,CFB Bagotville,Bagotville,Que.,Canada
YBK,Baker Lake Airport,Baker Lake,N.W.T.,Canada
YBL,Campbell River Airport,Campbell River,B.C.,Canada
YBR,Brandon Municipal Airport,Brandon,Man.,Canada
YCB,Cambridge Bay Airport,Cambridge Bay,N.W.T.,Canada
YCD,Nanaimo Airport,Nanaimo,B.C.,Canada
YCG,Castlegar/West Kootenay Regional Airport,Castlegar,B.C.,Canada
YCH,Miramichi Airport,Chatham,N.B.,Canada
YCL,Charlo Airport,Charlo,N.B.,Canada
